game_pk,date,sp_fip_diff,sp_whip_diff,sp_k_rate_diff,sp_last5_fip_diff,bullpen_score_diff,ops_14d_diff,ops_vs_hand_diff,rpg_14d_diff,home_field,park_factor,home_won
822919,2026-04-03,-2.5,-0.3,0.0849999999999999,-2.0500000000000003,31.099999999999994,0.132,-0.048,2.5,1,102,0
824458,2026-04-03,0.1699999999999999,0.67,0.061,2.66,16.6,-0.0959999999999999,-0.0509999999999999,-1.86,1,97,1
823732,2026-04-03,1.92,0.1299999999999999,-0.0779999999999999,1.91,-14.1,-0.031,-0.011,-0.6699999999999999,1,102,1
824377,2026-04-03,0.3399999999999998,0.3800000000000001,-0.055,0.8099999999999996,-36.400000000000006,-0.037,0.061,0.1699999999999999,1,112,0
823406,2026-04-03,-0.81,-0.26,-0.05,1.58,-6.100000000000001,-0.001,0.005,0.5,1,99,1
824056,2026-04-03,-0.3900000000000001,0.01,0.0529999999999999,-0.96,-17.89999999999999,0.0289999999999999,0.0749999999999999,0.5699999999999998,1,101,0
825026,2026-04-03,-3.1099999999999994,-1.0399999999999998,0.117,-2.52,9.099999999999994,-0.3029999999999999,0.006,-3.6,1,96,1
825103,2026-04-03,-1.1900000000000004,-0.1699999999999999,-0.024,-2.33,-4.599999999999994,-0.123,-0.0729999999999999,-2.0000000000000004,1,103,0
823240,2026-04-03,1.1899999999999995,0.4000000000000001,-0.049,-0.8900000000000006,-8.399999999999999,-0.014,0.0629999999999999,-0.5699999999999998,1,95,0
824295,2026-04-04,1.0799999999999996,0.4300000000000001,0.0269999999999999,1.38,21.10000000000001,0.004,-0.005,-0.1399999999999996,1,98,1
824622,2026-04-04,-1.43,-0.3399999999999998,0.0499999999999999,-1.96,-20.5,-0.1109999999999999,0.053,-0.7199999999999998,1,99,1
824132,2026-04-04,1.1199999999999997,0.51,0.004,5.760000000000001,-39.400000000000006,-0.1599999999999999,-0.055,-3.67,1,104,0
824134,2026-04-04,1.17,0.31,-0.135,2.11,-39.400000000000006,-0.1599999999999999,-0.055,-3.67,1,104,1
822757,2026-04-04,0.9900000000000002,0.5200000000000001,-0.077,1.75,-33.8,-0.007,-0.076,1.1500000000000004,1,100,0
825027,2026-04-04,7.499999999999999,1.6,-0.1089999999999999,7.74,13.799999999999995,-0.183,0.021,-2.12,1,96,0
823404,2026-04-04,-0.1799999999999997,0.07,-0.001,1.4900000000000002,-5.200000000000003,-0.016,0.005,0.5700000000000003,1,99,1
824782,2026-04-04,0.5200000000000005,0.0,0.035,-1.0099999999999998,-7.200000000000003,0.124,0.046,0.1400000000000001,1,107,0
822920,2026-04-04,0.3399999999999998,-0.03,0.006,-1.1100000000000003,33.0,0.0969999999999999,-0.004,1.86,1,102,0
823569,2026-04-04,1.1500000000000004,0.0499999999999998,-0.003,3.19,-1.9000000000000057,-0.099,0.038,-0.4299999999999997,1,99,1
823730,2026-04-04,-2.91,0.2099999999999999,0.068,-3.51,-25.700000000000003,-0.017,-0.041,0.2799999999999993,1,102,0
825104,2026-04-04,-0.8199999999999998,-0.0699999999999998,0.0409999999999999,-2.79,-6.700000000000003,-0.145,-0.0839999999999999,-2.0,1,103,1
824378,2026-04-04,0.31,0.0699999999999998,-0.089,14.46,-40.8,-0.127,0.002,-1.14,1,112,0
823239,2026-04-04,-0.2399999999999997,0.1899999999999999,0.053,2.0,-8.399999999999999,-0.1059999999999999,0.0629999999999999,-1.38,1,95,0
824054,2026-04-04,1.1800000000000002,0.56,-0.0809999999999999,5.370000000000001,-20.099999999999994,-0.019,-0.038,0.25,1,101,1
824459,2026-04-05,-0.6600000000000001,0.0399999999999998,-0.0199999999999999,-3.27,20.0,-0.022,-0.0459999999999999,-1.1799999999999995,1,97,0
824460,2026-04-05,-1.2599999999999998,0.03,0.015,-2.9200000000000004,20.0,-0.022,-0.02,-1.1799999999999995,1,97,1
822756,2026-04-05,-0.1000000000000005,-0.2199999999999999,-0.0059999999999999,0.1800000000000001,-67.89999999999999,-0.0349999999999999,-0.011,0.3700000000000001,1,100,0
823405,2026-04-05,-1.6800000000000002,-0.5299999999999998,0.12,-1.4500000000000002,5.600000000000001,0.005,0.005,0.6200000000000001,1,99,1
824781,2026-04-05,-0.6299999999999999,-0.1700000000000001,0.0429999999999999,0.7200000000000002,-31.5,0.1059999999999999,0.046,0.0,1,107,0
823566,2026-04-05,-2.04,-0.4399999999999999,-0.114,-19.12,11.400000000000006,-0.1119999999999999,0.038,-0.1299999999999999,1,99,0
823729,2026-04-05,2.59,0.73,-0.0319999999999999,4.83,-25.700000000000003,-0.0719999999999999,-0.011,-0.5,1,102,0
824620,2026-04-05,-4.03,-0.3,0.089,0.8599999999999994,-44.6,-0.0679999999999999,0.053,-0.25,1,99,1
824131,2026-04-05,0.6699999999999999,0.1299999999999999,-0.0539999999999999,0.9899999999999998,-48.3,-0.09,-0.0109999999999998,-2.38,1,104,0
822917,2026-04-05,1.37,0.3899999999999999,-0.062,3.12,62.4,0.0789999999999999,-0.004,1.38,1,102,0
